episode,agent,reward,steps
161,agente_fixo,14.969999999999999,18
161,agente_q,0.83,18
162,agente_fixo,44.97,48
162,agente_q,0.5299999999999998,48
163,agente_fixo,17.97,21
163,agente_q,0.7999999999999999,21
164,agente_fixo,21.97,25
164,agente_q,0.7599999999999999,25
165,agente_fixo,35.97,39
165,agente_q,0.6199999999999999,39
166,agente_fixo,16.97,20
166,agente_q,0.8099999999999999,20
167,agente_fixo,45.97,49
167,agente_q,0.5199999999999998,49
168,agente_fixo,18.97,22
168,agente_q,0.7899999999999999,22
169,agente_fixo,40.97,44
169,agente_q,0.5699999999999998,44
170,agente_fixo,71.97,75
170,agente_q,0.25999999999999956,75
171,agente_fixo,38.97,42
171,agente_q,0.5899999999999999,42
172,agente_fixo,23.97,27
172,agente_q,0.74,27
173,agente_fixo,29.97,33
173,agente_q,0.6799999999999999,33
174,agente_fixo,36.97,40
174,agente_q,0.6099999999999999,40
175,agente_fixo,29.97,33
175,agente_q,0.6799999999999999,33
176,agente_fixo,45.97,49
176,agente_q,0.5199999999999998,49
177,agente_fixo,16.97,20
177,agente_q,0.8099999999999999,20
178,agente_fixo,20.97,24
178,agente_q,0.7699999999999999,24
179,agente_fixo,12.969999999999999,16
179,agente_q,0.85,16
180,agente_fixo,10.969999999999999,14
180,agente_q,0.87,14
181,agente_fixo,37.97,41
181,agente_q,0.5999999999999999,41
182,agente_fixo,32.97,36
182,agente_q,0.6499999999999999,36
183,agente_fixo,48.97,52
183,agente_q,0.48999999999999977,52
184,agente_fixo,17.97,21
184,agente_q,0.7999999999999999,21
185,agente_fixo,1.97,5
185,agente_q,0.96,5
186,agente_fixo,107.97,111
186,agente_q,-0.10000000000000075,111
187,agente_fixo,7.97,11
187,agente_q,0.9,11
188,agente_fixo,65.97,69
188,agente_q,0.3199999999999996,69
189,agente_fixo,92.97,96
189,agente_q,0.04999999999999938,96
190,agente_fixo,2.9699999999999998,6
190,agente_q,0.95,6
191,agente_fixo,38.97,42
191,agente_q,0.5899999999999999,42
192,agente_fixo,23.97,27
192,agente_q,0.74,27
193,agente_fixo,11.969999999999999,15
193,agente_q,0.86,15
194,agente_fixo,2.9699999999999998,6
194,agente_q,0.95,6
195,agente_fixo,54.97,58
195,agente_q,0.4299999999999997,58
196,agente_fixo,10.969999999999999,14
196,agente_q,0.87,14
197,agente_fixo,66.97,70
197,agente_q,0.3099999999999996,70
198,agente_fixo,14.969999999999999,18
198,agente_q,0.83,18
199,agente_fixo,13.969999999999999,17
199,agente_q,0.84,17
200,agente_fixo,77.97,81
200,agente_q,0.1999999999999995,81
201,agente_fixo,30.97,34
201,agente_q,0.6699999999999999,34
202,agente_fixo,4.97,8
202,agente_q,0.9299999999999999,8
203,agente_fixo,3.9699999999999998,7
203,agente_q,0.94,7
204,agente_fixo,68.97,72
204,agente_q,0.2899999999999996,72
205,agente_fixo,23.97,27
205,agente_q,0.74,27
206,agente_fixo,7.97,11
206,agente_q,0.9,11
207,agente_fixo,29.97,33
207,agente_q,0.6799999999999999,33
208,agente_fixo,54.97,58
208,agente_q,0.4299999999999997,58
209,agente_fixo,26.97,30
209,agente_q,0.71,30
210,agente_fixo,9.969999999999999,13
210,agente_q,0.88,13
211,agente_fixo,9.969999999999999,13
211,agente_q,0.88,13
212,agente_fixo,44.97,48
212,agente_q,0.5299999999999998,48
213,agente_fixo,11.969999999999999,15
213,agente_q,0.86,15
214,agente_fixo,27.97,31
214,agente_q,0.7,31
215,agente_fixo,38.97,42
215,agente_q,0.5899999999999999,42
216,agente_fixo,1.97,5
216,agente_q,0.96,5
217,agente_fixo,60.97,64
217,agente_q,0.36999999999999966,64
218,agente_fixo,204.97,208
218,agente_q,-1.0699999999999998,208
219,agente_fixo,20.97,24
219,agente_q,0.7699999999999999,24
220,agente_fixo,45.97,49
220,agente_q,0.5199999999999998,49
221,agente_fixo,28.97,32
221,agente_q,0.69,32
222,agente_fixo,119.97,123
222,agente_q,-0.22000000000000086,123
223,agente_fixo,26.97,30
223,agente_q,0.71,30
224,agente_fixo,3.9699999999999998,7
224,agente_q,0.94,7
225,agente_fixo,30.97,34
225,agente_q,0.6699999999999999,34
226,agente_fixo,63.97,67
226,agente_q,0.33999999999999964,67
227,agente_fixo,65.97,69
227,agente_q,0.3199999999999996,69
228,agente_fixo,11.969999999999999,15
228,agente_q,0.86,15
229,agente_fixo,0.97,4
229,agente_q,0.97,4
230,agente_fixo,3.9699999999999998,7
230,agente_q,0.94,7
231,agente_fixo,66.97,70
231,agente_q,0.3099999999999996,70
232,agente_fixo,24.97,28
232,agente_q,0.73,28
233,agente_fixo,6.97,10
233,agente_q,0.91,10
234,agente_fixo,0.97,4
234,agente_q,0.97,4
235,agente_fixo,11.969999999999999,15
235,agente_q,0.86,15
236,agente_fixo,12.969999999999999,16
236,agente_q,0.85,16
237,agente_fixo,91.97,95
237,agente_q,0.05999999999999939,95
238,agente_fixo,29.97,33
238,agente_q,0.6799999999999999,33
239,agente_fixo,2.9699999999999998,6
239,agente_q,0.95,6
240,agente_fixo,13.969999999999999,17
240,agente_q,0.84,17
241,agente_fixo,1.97,5
241,agente_q,0.96,5
242,agente_fixo,20.97,24
242,agente_q,0.7699999999999999,24
243,agente_fixo,6.97,10
243,agente_q,0.91,10
244,agente_fixo,16.97,20
244,agente_q,0.8099999999999999,20
245,agente_fixo,9.969999999999999,13
245,agente_q,0.88,13
246,agente_fixo,5.97,9
246,agente_q,0.92,9
247,agente_fixo,54.97,58
247,agente_q,0.4299999999999997,58
248,agente_fixo,16.97,20
248,agente_q,0.8099999999999999,20
249,agente_fixo,9.969999999999999,13
249,agente_q,0.88,13
250,agente_fixo,4.97,8
250,agente_q,0.9299999999999999,8
251,agente_fixo,24.97,28
251,agente_q,0.73,28
252,agente_fixo,1.97,5
252,agente_q,0.96,5
253,agente_fixo,15.969999999999999,19
253,agente_q,0.82,19
254,agente_fixo,0.97,4
254,agente_q,0.97,4
255,agente_fixo,69.97,73
255,agente_q,0.2799999999999996,73
256,agente_fixo,10.969999999999999,14
256,agente_q,0.87,14
257,agente_fixo,0.97,4
257,agente_q,0.97,4
258,agente_fixo,21.97,25
258,agente_q,0.7599999999999999,25
259,agente_fixo,80.97,84
259,agente_q,0.16999999999999948,84
260,agente_fixo,16.97,20
260,agente_q,0.8099999999999999,20
261,agente_fixo,57.97,61
261,agente_q,0.3999999999999997,61
262,agente_fixo,28.97,32
262,agente_q,0.69,32
263,agente_fixo,11.969999999999999,15
263,agente_q,0.86,15
264,agente_fixo,55.97,59
264,agente_q,0.4199999999999997,59
265,agente_fixo,6.97,10
265,agente_q,0.91,10
266,agente_fixo,155.97,159
266,agente_q,-0.5800000000000012,159
267,agente_fixo,10.969999999999999,14
267,agente_q,0.87,14
268,agente_fixo,17.97,21
268,agente_q,0.7999999999999999,21
269,agente_fixo,15.969999999999999,19
269,agente_q,0.82,19
270,agente_fixo,71.97,75
270,agente_q,0.25999999999999956,75
271,agente_fixo,8.969999999999999,12
271,agente_q,0.89,12
272,agente_fixo,13.969999999999999,17
272,agente_q,0.84,17
273,agente_fixo,25.97,29
273,agente_q,0.72,29
274,agente_fixo,32.97,36
274,agente_q,0.6499999999999999,36
275,agente_fixo,104.97,108
275,agente_q,-0.07000000000000073,108
276,agente_fixo,17.97,21
276,agente_q,0.7999999999999999,21
277,agente_fixo,0.97,4
277,agente_q,0.97,4
278,agente_fixo,64.97,68
278,agente_q,0.3299999999999996,68
279,agente_fixo,38.97,42
279,agente_q,0.5899999999999999,42
280,agente_fixo,20.97,24
280,agente_q,0.7699999999999999,24
281,agente_fixo,78.97,82
281,agente_q,0.1899999999999995,82
282,agente_fixo,106.97,110
282,agente_q,-0.09000000000000075,110
283,agente_fixo,63.97,67
283,agente_q,0.33999999999999964,67
284,agente_fixo,5.97,9
284,agente_q,0.92,9
285,agente_fixo,11.969999999999999,15
285,agente_q,0.86,15
286,agente_fixo,21.97,25
286,agente_q,0.7599999999999999,25
287,agente_fixo,2.9699999999999998,6
287,agente_q,0.95,6
288,agente_fixo,4.97,8
288,agente_q,0.9299999999999999,8
289,agente_fixo,41.97,45
289,agente_q,0.5599999999999998,45
290,agente_fixo,6.97,10
290,agente_q,0.91,10
291,agente_fixo,59.97,63
291,agente_q,0.37999999999999967,63
292,agente_fixo,16.97,20
292,agente_q,0.8099999999999999,20
